user_id,survey_response_id,response_created_at,optimal_allocation,pair_number,option_1,option_2,user_choice,raw_user_choice,option1_strategy,option2_strategy
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",1,"[25, 50, 25, 0]","[10, 40, 10, 40]",2,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",2,"[25, 0, 25, 50]","[10, 10, 40, 40]",2,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",3,"[50, 25, 25, 0]","[40, 40, 10, 10]",1,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",4,"[50, 25, 0, 25]","[40, 10, 10, 40]",2,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",5,"[25, 0, 50, 25]","[40, 10, 40, 10]",1,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",6,"[25, 25, 50, 0]","[10, 40, 40, 10]",2,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.00, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",7,"[25, 25, 0, 50]","[10, 35, 10, 45]",2,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.82, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",8,"[0, 50, 25, 25]","[45, 35, 10, 10]",1,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.82, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",9,"[0, 25, 50, 25]","[40, 40, 5, 15]",1,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.82, worst: -35.36}"
testerl13d,404,2026-02-08 13:12:55,"[25, 25, 25, 25]",10,"[0, 25, 25, 50]","[5, 15, 40, 40]",1,2,"l1: {best: -50.00, worst: -60.00}","l2: {best: -30.82, worst: -35.36}"
